24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,
24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,
24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,
24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,
24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,
24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,
24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,
24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,24768 ,
40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,
40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,
40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,
40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,
40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,
40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,
40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,
40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,40768 ,
